Application,Timestamp,Description,Dimensions,Reference Frame,Proximity,Target Type,Interactor,Indication,Confirmation,Outcome
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=46,5. Throw an object into an area or a target,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=182,7. Press a 3D button to start a process ,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=325,"8. Hit an enemy/target to attack, for example with a bat",3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Survival Nation,https://youtu.be/lHiwIir_0gs?si=RmWA3AHfO3PLLRP0&t=126,10. Dwell with gaze on hand to open watch UI,2D,Hand,On-Body,UI Element,Ray - Invisible,Pointing - Head gaze,Dwell,System control
Survival Nation,https://youtu.be/vhBTLJwOsUw?si=-pNKnpQpMM47E8A6&t=330,11. Shoot zombies with a gun,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Job Simulator,https://youtu.be/1KsLr6pQzdo?si=MDuZDgeeAoSHORcF&t=124,1. Grasp closeby objects,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Job Simulator,https://youtu.be/1KsLr6pQzdo?si=e8qXsc6jDeSL9n0H&t=6099,"2. Manipulate a slider, tilt/press a 3D button; grab a grip; silde a mechanical frame to select options",3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Job Simulator,https://youtu.be/1KsLr6pQzdo?t=63,3. Select a slot by inserting a cartrige,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Job Simulator,https://youtu.be/1KsLr6pQzdo?t=233,5. Press a 3D button on a phone,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Job Simulator,https://youtu.be/1KsLr6pQzdo?t=617,7. Select part of the head to apply clothes/wearables to (glasses),3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Job Simulator,https://youtu.be/1KsLr6pQzdo?t=1197,8. Select a box on the screen by manipulating a virtual computer mouse,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Job Simulator,https://youtu.be/1KsLr6pQzdo?si=IWuMTkL6nq7Y2eY6&t=5739,9. Throw an object at a computer,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Breachers,https://youtu.be/kg6O7is6zCU?t=196,1. Grasping weapons from holsters placed on the body,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Breachers,https://youtu.be/kg6O7is6zCU?si=6kRiDNLHUy4Pqffj&t=194,2. Insert weapon into on-torso inventory (holster),3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Breachers,https://youtu.be/2k0rj-o_9b4?si=nYcyD4Zkid1Cc3LU&t=161,3. Aiming at a surface/target to select where to land a grappling hook,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Breachers,https://youtu.be/2k0rj-o_9b4?si=0Cv_HAxFecvNVKhz&t=656,4. Aim through a sight and shoot at enemies,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Breachers,https://youtu.be/6XK_ewNLoMA?si=UvCwBY97mw38l8gJ&t=619,5. Pressing a virtual button on handheld object,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Breachers,https://youtu.be/2k0rj-o_9b4?si=A576_IHFenM9C3qp&t=469,6. Throw an object (grenade) at an enemy or area,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Breachers,https://youtu.be/2k0rj-o_9b4?si=mgbwSTF970gKBuVi&t=106,7. Select from a closeby UI menu using touch,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Breachers,https://youtu.be/2k0rj-o_9b4?si=Sf_wyQEd8tkozvLx&t=13,8. Select from a menu UI at a distance,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Breachers,https://youtu.be/6XK_ewNLoMA?si=pj8S-m_8HnsaPX7l&t=291,9. Grab objects from environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Breachers,https://youtu.be/6XK_ewNLoMA?si=bo9bW0HHl8tJ4viY&t=769,10. Selecting from on-hand UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
Breachers,https://youtu.be/6XK_ewNLoMA?si=vOkL13OYd1IuVpmq&t=1130,11. Torso refrenced UI,2D,Torso,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Breachers,https://youtu.be/6XK_ewNLoMA?si=Pyyy9m10KwtNopQm&t=2298,12. Diffuse bomb,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Among Us VR,https://youtu.be/m9Z6GjQatek?t=587,1. Select icons/text in menu/minimap UI,2D,Torso,On-Body,UI Element,Ray - 2D Cursor,Pointing - Hand ray,Analog - Click,System control
Among Us VR,https://youtu.be/m9Z6GjQatek?t=627,2. Touch 3D switches,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Among Us VR,https://youtu.be/RfUI1TSIvWw?si=u7Gl8UeyNA-P9gtk&t=223,3. Point and click on 3D switches,3D,Environment,Peripersonal,3D Object,Ray - 2D Cursor,Pointing - Hand ray,Analog - Click,System control
Among Us VR,https://youtu.be/m9Z6GjQatek?t=1036,4. Selecting from a far UI to place a vote,2D,Environment,Extrapersonal,UI Element,Ray - 2D Cursor,Pointing - Hand ray,Analog - Click,System control
Among Us VR,https://youtu.be/JL214bI_WrY?si=eQ_zAJtEQhnHQyoj&t=98,5. Selecting from a game UI at a distance,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
BONELAB,https://youtu.be/A4eLTs4ZHYE?si=5I7ldV5QpC2TLdsA&t=405,1. Aim at a target and shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
BONELAB,https://youtu.be/A4eLTs4ZHYE?t=388,2. Hit targets/enemies with a handheld object,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
BONELAB,https://youtu.be/LzvmCQdkgXg?si=wo3qx8WbhSCu3QQX&t=126,4. Select from a menu UI at a distance,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
BONELAB,https://youtu.be/A4eLTs4ZHYE?si=fARrfx7EHAtZbBuT&t=1178,5. Manipulate grabbed string to select a character,3D,Hand,On-Body,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
BONELAB,https://youtu.be/uxkiysG47m0?si=3YFeeoz-Nzhjh0Ce&t=502,6. Grab handheld with second hand,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
BONELAB,https://youtu.be/uxkiysG47m0?si=le3WKLoSvWgxfNiU&t=215,7. Insert item into UI inventory that follows torso,2D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
BONELAB,https://youtu.be/uxkiysG47m0?si=GrKxL-rL4ottf3Yt&t=766,8. Grab an item from inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
BONELAB,https://youtu.be/QHsSn8qo9Uk?si=RT5Esf2wS2Y34K69&t=1508,9. Press 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
BONELAB,https://youtu.be/_HjbQwpx1ts?si=-GuGp6nSYnZgspLf&t=2585,10. 2D torso UI,2D,Torso,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
BONELAB,https://youtu.be/QHsSn8qo9Uk?si=gmb9ND9xtmOPKizu&t=795,11. Hit enemies with hand,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
BONELAB,https://youtu.be/QHsSn8qo9Uk?si=6DIPGa6w9iWE65vV&t=1512,12. Grab Items from environment inventory,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Thrill of the Fight,https://youtu.be/S2cX3KAAmos?si=yq3iIs1-KbVqa9h4&t=39,1. Select an object with gaze dwelling,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Head gaze,Dwell,System control
The Thrill of the Fight,https://youtu.be/S2cX3KAAmos?si=oyexknkQZWbnRpxm&t=381,2. Point to selectable text and dwell to confirm,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Dwell,System control
The Thrill of the Fight,https://youtu.be/S2cX3KAAmos?si=sGi7O8XKtlwV8e8s&t=90,3. Touch a menu item to select it,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
The Thrill of the Fight,https://youtu.be/iIrmhf9pRH0?t=67,4. Touch/punch an area on opponent's avatar body,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
TOTALLY BASEBALL,https://youtu.be/l8RvsdeGoms?t=72,1. Select from a UI at a distance ,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
TOTALLY BASEBALL,https://youtu.be/l8RvsdeGoms?t=289 ,2. Grab/Catch an object (baseball thrown to the user),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
TOTALLY BASEBALL,https://youtu.be/l8RvsdeGoms?t=221,3. Throw a ball at opposite team,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
TOTALLY BASEBALL,https://youtu.be/l8RvsdeGoms?t=239,4. Hitting a ball with a bat,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
TOTALLY BASEBALL,https://youtu.be/l8RvsdeGoms?t=301,5. Aim ray to pitch a baseball,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Pistol Whip,https://youtu.be/F90LXZvxfwY?t=139,1. Aim and shoot at targets,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Pistol Whip,https://youtu.be/Q0pjAhmxAmg?si=gp4IT_VH97gmmv3Y&t=49,2. Select 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Pistol Whip,https://youtu.be/Q0pjAhmxAmg?si=3xk3KGZ0Ivv9sQ1M&t=110,3. Hit enemies with handheld object,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=86,1. Rotate a wheel to select color,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?si=39Ib4r1MhrI49ef6&t=100,2. Directly grasp objects in the VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=144,3. Manipulate a sliding bar to display/choose different items to customize a character,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=147,4. Touch UI buttons,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=925,5. Place a hat over the head to wear it,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=1698,6. Touch color with a brush to select it,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Vacation Simulator,https://youtu.be/QBATIOIWIQg?si=_rMCAq_kTnjFR03M&t=4434,7. Insert items into inventory slots,2D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Vacation Simulator,https://youtu.be/QBATIOIWIQg?si=QusYbWA56_TfZvR5&t=478,8. Press 3D buttons,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Vacation Simulator,https://youtu.be/QBATIOIWIQg?si=9P7zQUpptPIqv-KN&t=643,9. Point and click to a pre-determined teleport location,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Click,System control
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=1443,10. Throwing a snowball at sign,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
Vacation Simulator,https://youtu.be/QBATIOIWIQg?si=DtlmK3YkR120YuEo&t=878,11. Use a virtual computer mouse to select icons,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Click,System control
Vacation Simulator,https://youtu.be/Vc0BahDIBb4?si=utg4GLAB0Xmd6L6A&t=127,12. Point and finger pinch on a pre-determined teleport location (hand tracking),3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Hand Tracking - Click gesture,System control
Vacation Simulator,https://youtu.be/Vc0BahDIBb4?si=9vz30JqRdacjDBRm&t=273,13. Directly grab items with hand pinching (hand tracking),3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Hand Tracking - Hold gesture,Acquisition
Vacation Simulator,https://youtu.be/3QvRJi8cNtk?si=GYDCOHew6giJv8Ga&t=553,14. Insert items into inventory slots (hand tracking),2D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Hand Tracking - Release gesture,System control
Shave & Stuff,https://youtu.be/lgKAJULuNig?t=33,1. Directly grab items in environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Shave & Stuff,https://youtu.be/N5DLi-smvf8?si=orN3TflrJJlHDj3A&t=28,2. Selecting from 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Warplanes: Battles over Pacific,https://youtu.be/dJtRLd9pyt8?t=157,1. Directly grab plane controls,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Warplanes: Battles over Pacific,https://youtu.be/dJtRLd9pyt8?t=451,2. Selecting from stationary menu on a board,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Kill it With Fire VR,https://youtu.be/zypjc9QnSFQ?t=106,1. Grabbing closeby objects,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Kill it With Fire VR,https://youtu.be/zypjc9QnSFQ?t=68,2. Press a virtual 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Kill it With Fire VR,https://youtu.be/zypjc9QnSFQ?t=224,3. Hitting a spider,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Kill it With Fire VR,https://www.youtube.com/watch?v=zypjc9QnSFQ&t=566s,4. Pressing a flat UI button,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Kill it With Fire VR,https://youtu.be/mEanxp2jHx8?si=UjisGXoOZgGL8Olw&t=680,5. Selecting 3D objects through pointing,3D,Environment,Peripersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Kill it With Fire VR,https://youtu.be/mEanxp2jHx8?si=hYacIPKnUbExydho&t=752,6. Killing spiders with flamethrower,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Kill it With Fire VR,https://youtu.be/mEanxp2jHx8?si=R179uxkq3K2OhKRr&t=876,7. Selecting from 2D UI menu,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Kill it With Fire VR,https://youtu.be/mEanxp2jHx8?si=sj-nJejcsItr9LPx&t=1127,8. Inserting into on-hand inventory,3D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Kill it With Fire VR,https://youtu.be/mEanxp2jHx8?si=i-0x-1dPXkfO37DF&t=2865,10. Pulling a lever ,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Kill it With Fire VR,https://youtu.be/mEanxp2jHx8?si=K2vYXUoEweup_eLC&t=2961,11. Selecting from envrionment inventory,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Kill it With Fire VR,https://youtu.be/mEanxp2jHx8?si=GQCpFVv2LIyBGyFC&t=3317,12. Throw objects at spiders,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Walkabout Mini Golf,https://youtu.be/_BxgbBmC1Ww?t=94,1. Swinging golf stick to hit the golf ball,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Walkabout Mini Golf,https://youtu.be/P1ipj-FZGgs?si=Iv3zAYeVngd0tYGS&t=22,2. Selecting from menu,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=93,1. Select UI menu elements,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=934,4. Select text/icons in tablet/minimap UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=894,"5. Pressing virtual buttons in elevator, safe",3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=609,6. Grabbing objects from the body,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=749,7. Touch UI menu element (in book),2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=1738,8. Shoot enemies,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Propagation: Paradise Hotel,https://youtu.be/D5InHv4-CJY?si=8nuxMgH5u0f8L2SL&t=282,9. Insert key into a keyhole,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Propagation: Paradise Hotel,https://youtu.be/D5InHv4-CJY?si=T_4UAFfdCSVzUnfs&t=316,10. Inserting objects into on-body inventory,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Propagation: Paradise Hotel,https://youtu.be/D5InHv4-CJY?si=ecobIN3UyWKFv1uw&t=1327,11. Hit enemies with handheld object,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Propagation: Paradise Hotel,https://youtu.be/RI8y0Gnidts?si=ddfVvNNgSxQ544j_&t=629,12. Pulling a lever,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
The Climb 2,https://www.youtube.com/watch?v=sv25OnFJ2oQ,1. Direct Grab To Climb a desired surface or to hold to it to not fall,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
The Climb 2,https://youtu.be/n8Dr4HlQug8?si=AIL5hJBrv4BtywW2&t=6306,2. Select from a UI menu,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Drunkn Bar Fight,https://youtu.be/t8rZBhxiVy4?si=6jo2qGeotcZmYskw&t=167,"1. Grabbing objects (bottles, guns, chairs)",3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Drunkn Bar Fight,https://youtu.be/t8rZBhxiVy4?si=SxrIlkcoo5poYUzN&t=94,2. Hit an enemy with a long object,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Drunkn Bar Fight,https://youtu.be/t8rZBhxiVy4?si=tFlI6WIZ-_KSFBj2&t=110,3. Hit/punch an enemy with fist from close up,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
Drunkn Bar Fight,https://youtu.be/t8rZBhxiVy4?t=810,5. Throwing a brick at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Drunkn Bar Fight,https://youtu.be/t8rZBhxiVy4?t=1114,6. Tapping UI buttons on a handheld smartphone,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
Drunkn Bar Fight,https://www.youtube.com/live/B25Dj8hyiDM?si=c80HYzuc9k94i-xE&t=1402,7. Shoot at enemies,3D,Environment,Peripersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Onward,https://youtu.be/mtkhlC-rXmc?si=eDegK4rYFwbRS1yX&t=632,1. Grabbing weapons and objects from the floor or the env,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Onward,https://youtu.be/FqThVhyoVQc?si=DTroJxLGYgN9Thep&t=324,2. Storing ammunition in a on-body slot,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Onward,https://youtu.be/RD0IK-icSNs?si=L7mnvLncn0DVohOQ&t=54,3. Throwing grenades,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Onward,https://youtu.be/13nN5BoHcQk?si=sY3q25sU5nNhSvxT&t=121,4. Grab items from the body/on body inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Onward,https://youtu.be/ej5Qm_51ay4?t=192,5. Using UI to customize weapon,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Onward,https://youtu.be/P4Tw3zlqyc8?si=VqyaoyDtuhBovRRp&t=68,6. Shooting at enemy targets,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Onward,https://youtu.be/mtkhlC-rXmc?si=fh3wIH5MImtUEoqg&t=635,7. Put on equipment by releasing it over head,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Onward,https://youtu.be/FqThVhyoVQc?si=nvRzCF9_xz0OJcbN&t=124,8. Point and click to an on-hand flat UI,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Onward,https://youtu.be/EUBTB3N1KUI?si=updr3gp9SntTVnZR&t=13,9. Hit enemies with handheld object,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
GORN,https://youtu.be/tVLHHibf5M0?t=17,1. Setting a state with levers,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
GORN,https://youtu.be/rE-MQPDoKw4?t=38,2. Punching enemies,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
GORN,https://youtu.be/X2bVwjmvPq8?si=sgyU4W6eTE9VswED&t=453,3. Selecting weapons/items from the ground,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
GORN,https://youtu.be/rE-MQPDoKw4?t=441,4. Hitting enemies with long objects,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
GORN,https://youtu.be/rE-MQPDoKw4?t=1264,5. Shooting with a crossbow,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
GORN,https://youtu.be/1K-h-UcP6DU?si=65O2rLnbsc4SWjfb&t=960,6. Press 3D buttons,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
GOLF+,https://youtu.be/6cPTyuf1mT8?t=483,1. Select club from UI Menu in-Game,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
GOLF+,https://youtu.be/6cPTyuf1mT8?si=ABdYifK8MDBORFG_&t=487,"2. Click on minimap, which acquires club and starts trial",2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,Acquisition
GOLF+,https://youtu.be/6cPTyuf1mT8?si=uZCdtxxhnssDGpxD&t=606,3. Slider with discrete positions for distance setting,2D,Environment,Extrapersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
GOLF+,https://youtu.be/6cPTyuf1mT8?t=506,4. Hit golf ball with golf club,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Green Hell VR,https://youtu.be/iAZi2kNJ-LY?si=qK7L9que6Gc6fs7C&t=31,2. Touch a UI entry on hand,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Dwell,System control
Green Hell VR,https://youtu.be/iAZi2kNJ-LY?si=qldk15QQ9Z9TJm7G&t=589,3. Selecting tabs through touch in handheld book UI,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
