Application,Timestamp,Description,Flat UI,Speed vs Accuracy,Avg. num selectables in view,Max num selectables in view,Unique target,Selectable size,Target distance,Static or moving target,Arrangement,Reference Frame,Direction,Occlusion,Selection Technique,Hover feedback,Feedback immediacy,Locomotion allowed,X,Y,color
Job Simulator,https://youtu.be/e0Yyp2OMZqo?t=449,"2. Manipulate a slider, tilt/press a 3D button; grab a grip; silde a mechanical frame to select options",3D,accuracy,10-19,20+,no,small,Peripersonal,static,grid,Environment,both,minimal,Manipulate-to-select,yes,yes,no,-13.423827,17.662558,MediumPurple
Job Simulator,https://youtu.be/1KsLr6pQzdo?t=63,3. Select a slot to insert a cartrige ,3D,accuracy,1-2,1-2,yes,small,Peripersonal,static,random,Environment,both,none,Release-to-select,yes,yes,yes,11.29693,-30.428053,Blue
Job Simulator,https://youtu.be/1KsLr6pQzdo?t=148,4. Select part of the heaf to touch with donuts to consume them,3D,accuracy,1-2,1-2,yes,medium,On-body,static,random,Head,center,none,Touch,no,no,no,42.2459,-5.2269535,Tomato
Job Simulator,https://youtu.be/1KsLr6pQzdo?t=233,5. Sleect a button to press on a phone,3D,accuracy,3-9,3-9,yes,medium,Peripersonal,static,grid,Environment,center,none,Press Virtual Button,no,yes,yes,3.246031,-37.755676,LimeGreen
Job Simulator,https://youtu.be/1KsLr6pQzdo?t=283,6. Select a target or area to throw an object at/towards (i.e. paper plane),3D,speed,1-2,1-2,yes,large,Extrapersonal,both,random,Environment,both,heavy,Throw,no,no,yes,34.02286,15.71854,DeepSkyBlue
Job Simulator,https://youtu.be/1KsLr6pQzdo?t=617,7. Select part of the head to apply clothes/wearables to (i.e. glasses),3D,accuracy,1-2,1-2,yes,medium,On-body,static,random,Head,center,none,Release-to-select,yes,yes,no,15.251066,-27.446974,Blue
Job Simulator,https://youtu.be/1KsLr6pQzdo?t=1197,8. Select a box on the screen by manipulating a virtual computer mouse,3D,accuracy,20+,20+,no,tiny,Peripersonal,static,grid,Environment,center,none,Manipulate-to-select,yes,yes,no,-13.142788,18.265844,MediumPurple
Breachers,https://youtu.be/kg6O7is6zCU?t=196,1. Grasping weapons from holsters placed on the body,3D,speed,1-2,1-2,no,medium,On-body,static,random,Torso,center,none,Grasp,no,yes,no,-30.304768,7.19228,Green
Breachers,https://youtu.be/kg6O7is6zCU?t=244,2. Aiming at a surface/target to select where to land a grappling hook,3D,accuracy,1-2,1-2,yes,medium,Extrapersonal,static,random,Environment,center,none,Point,yes,yes,no,-7.0829253,37.32413,Red
Breachers,https://youtu.be/kg6O7is6zCU?t=472,3. Pressing a button on hand (i.e. a button to detonate and breach a wall),3D,accuracy,1-2,1-2,yes,small,On-body,static,random,Hand,center,none,Press Virtual Button,no,yes,no,8.013797,-36.63865,LimeGreen
Breachers,https://youtu.be/kg6O7is6zCU?t=506,4. Throws an object (i.e. grenade) towards a target or area,3D,accuracy,1-2,1-2,no,large,Extrapersonal,static,random,Environment,center,minimal,Throw,no,yes,yes,34.07185,14.865083,DeepSkyBlue
Breachers,https://youtu.be/kg6O7is6zCU?t=175,5. Select from a closeby inventory UI ,2D,accuracy,20+,20+,yes,small,Peripersonal,static,grid,Environment,center,none,Touch,yes,yes,no,48.73936,-7.4958735,Tomato
Breachers,https://youtu.be/kg6O7is6zCU?t=573,6. Select from a menu UI at a distance,2D,accuracy,10-19,20+,yes,small,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,8.323508,10.7438965,Red
Among Us VR,https://youtu.be/m9Z6GjQatek?t=587,1. Select icons/text in menu/minimap UI,2D,accuracy,3-9,10-19,yes,small,Extrapersonal,static,list,Environment,center,none,Point,yes,yes,no,9.805475,14.201133,Red
Among Us VR,https://youtu.be/m9Z6GjQatek?t=384,2. Select 3D buttons to press,3D,equal,3-9,3-9,no,small,Peripersonal,static,grid,Environment,center,none,Press Virtual Button,yes,yes,no,3.162443,-38.234287,LimeGreen
Among Us VR,https://youtu.be/m9Z6GjQatek?t=600,3. Select 2d buttons to touch,2D,accuracy,3-9,3-9,no,small,Peripersonal,static,grid,Environment,center,none,Touch,yes,yes,no,48.558186,-6.791677,Tomato
Among Us VR,https://youtu.be/m9Z6GjQatek?t=627,4. Select switches to turn either up or down,3D,accuracy,3-9,10-19,no,small,Peripersonal,static,grid,Environment,center,none,Touch,yes,yes,no,47.49569,-1.9308535,Tomato
Among Us VR,https://youtu.be/m9Z6GjQatek?t=835,5. Selecting from a game UI at a distance to either quit or play again,2D,accuracy,1-2,1-2,yes,medium,Extrapersonal,static,list,Environment,center,none,Point,yes,yes,yes,6.080667,9.791416,Red
Among Us VR,https://youtu.be/m9Z6GjQatek?t=1036,6. Selecting from a far UI to place a vote,2D,accuracy,10-19,10-19,yes,medium,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,7.450458,10.305228,Red
BONELAB,https://youtu.be/A4eLTs4ZHYE?t=118,1. Select a target/enemy to target and shoot,3D,equal,3-9,3-9,no,large,Extrapersonal,moving,random,Environment,center,minimal,Shoot,no,yes,yes,14.766214,-7.101679,Gold
BONELAB,https://youtu.be/A4eLTs4ZHYE?t=388,2. Select targets/enemies to destroy through crossing ,3D,equal,1-2,3-9,no,large,Peripersonal,moving,random,Environment,both,minimal,Cross,no,yes,yes,-38.90633,-9.637144,Chocolate
BONELAB,https://youtu.be/A4eLTs4ZHYE?t=835,3. Grasp objects directly from the VE,3D,equal,1-2,3-9,yes,medium,Peripersonal,static,random,Environment,both,minimal,Grasp,no,yes,yes,-18.69254,-17.528244,Green
BONELAB,https://youtu.be/A4eLTs4ZHYE?t=543,4. Select from a menu UI at a distance,2D,accuracy,3-9,10-19,yes,small,Extrapersonal,static,list,Environment,center,none,Point,yes,yes,yes,9.208096,14.604304,Red
The Thrill of the Fight,https://youtu.be/iIrmhf9pRH0?t=130,1. Select an opponent by circling the hands around him,3D,speed,1-2,1-2,yes,large,Peripersonal,moving,random,Environment,center,none,Grasp,no,yes,yes,-22.606394,-11.967052,Green
The Thrill of the Fight,https://youtu.be/iIrmhf9pRH0?t=357,2. Select from a menu UI (i.e. papers on wall),2D,accuracy,1-2,3-9,yes,small,Peripersonal,static,grid,Environment,center,none,Touch,no,yes,yes,48.114006,-7.20111,Tomato
The Thrill of the Fight,https://youtu.be/iIrmhf9pRH0?t=67,3. Selecting a target or area to land a punch,3D,equal,1-2,1-2,yes,large,Peripersonal,moving,random,Environment,center,minimal,Push,no,yes,yes,7.8768563,-33.230824,Olive
TOTALLY BASEBALL,https://youtu.be/l8RvsdeGoms?t=72,1. Select from a UI at a distance ,2D,accuracy,10-19,10-19,yes,small,Extrapersonal,static,list,Environment,center,none,Point,yes,yes,yes,6.729016,10.687647,Red
TOTALLY BASEBALL,https://youtu.be/l8RvsdeGoms?t=289 ,2. Catching an object (i.e. a baseball thrown to the user),3D,equal,1-2,1-2,yes,small,Peripersonal,moving,random,Environment,center,none,Catch,no,yes,no,-34.246937,-11.472371,DarkOrange
TOTALLY BASEBALL,https://youtu.be/l8RvsdeGoms?t=221,3. Aim and throw an object (i.e. a ball in a baseball game),3D,accuracy,1-2,1-2,yes,small,Extrapersonal,static,random,Environment,center,none,Throw,no,yes,no,33.39721,14.162143,DeepSkyBlue
TOTALLY BASEBALL,https://youtu.be/l8RvsdeGoms?t=239,"4. Select a target or projectile to hit, for example, hitting a ball going towards the user with a bat",3D,equal,1-2,1-2,yes,small,Peripersonal,moving,random,Environment,center,none,Cross,no,yes,no,-36.912117,-9.303358,Chocolate
TOTALLY BASEBALL,https://youtu.be/l8RvsdeGoms?t=301,5. Select a target to aim at and shoot (i.e. baseball on a pitch),3D,accuracy,1-2,1-2,yes,small,Extrapersonal,static,random,Environment,center,none,Shoot,no,yes,no,14.4995575,-11.528874,Gold
Pistol Whip,https://youtu.be/F90LXZvxfwY?t=139,1. Select targets to aim at and shoot,3D,equal,3-9,3-9,no,large,Extrapersonal,moving,random,Environment,both,minimal,Shoot,no,yes,yes,14.696005,-7.183693,Gold
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=86,1. Manipualte a wheel through rotating it to choose the accessory color or change tv channels,3D,accuracy,20+,20+,yes,small,Peripersonal,static,circular,Environment,center,none,Manipulate-to-select,yes,yes,no,-13.135948,17.83567,MediumPurple
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=101,2. Directly grasp objects in the VE (i.e. shampoo bottles),3D,accuracy,3-9,3-9,yes,small,Peripersonal,static,random,Environment,center,none,Grasp,yes,yes,yes,-8.167379,-15.258334,Green
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=144,3. Manipulate a sliding bar to display/choose different items to customize a character,3D,accuracy,10-19,10-19,yes,small,Peripersonal,static,grid,Environment,center,none,Manipulate-to-select,yes,yes,no,-13.570511,17.425285,MediumPurple
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=147,4. Select buttons to press to make changes to the avatar through a UI,3D,accuracy,10-19,10-19,yes,small,Peripersonal,static,grid,Environment,center,none,Press Virtual Button,yes,yes,yes,5.035539,-37.977757,LimeGreen
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=893,5. Pull the drawer to open it after it's already selected,3D,accuracy,1-2,1-2,yes,small,Peripersonal,static,random,Environment,both,none,Manipulate-to-select,yes,yes,yes,-14.839756,17.114128,MediumPurple
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=925,6. Place a hat over the head to wear it,3D,accuracy,1-2,1-2,yes,medium,On-body,static,random,Head,center,none,Release-to-select,yes,yes,no,15.251066,-27.446974,Blue
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=1698,7. Touch color with a brush to select it,3D,accuracy,10-19,10-19,yes,small,Peripersonal,static,grid,Environment,center,none,Touch,no,yes,no,46.58182,-2.3778102,Tomato
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=1401,8. Select items from backpack inventory,3D,accuracy,3-9,10-19,yes,small,Peripersonal,static,grid,Environment,both,none,Grasp,yes,yes,no,-11.588348,-13.240861,Green
Vacation Simulator,https://youtu.be/uhav22Tg0NQ?t=1443,9. Throwing a snowball at sign,3D,equal,10-19,10-19,yes,small,Extrapersonal,static,random,Environment,both,none,Throw,yes,yes,no,33.552517,13.8640785,DeepSkyBlue
Shave & Stuff,https://youtu.be/lgKAJULuNig?t=33,1. Direct selection of barbershop tools,3D,accuracy,3-9,10-19,no,small,Peripersonal,static,random,Environment,both,none,Grasp,yes,yes,no,-11.075409,-14.759026,Green
Shave & Stuff,https://youtu.be/lgKAJULuNig?t=149,2. Hovering with tool over avatar's head (similar to painting),3D,accuracy,20+,20+,no,medium,Peripersonal,static,grid,Environment,center,minimal,Touch,no,yes,yes,47.18007,-1.8988432,Tomato
Warplanes: Battles over Pacific,https://youtu.be/dJtRLd9pyt8?t=157,"1. Direct Grabbing when inside the plane cockpit, and you are the pilot and the pannel is in front of you",3D,accuracy,3-9,3-9,yes,small,Peripersonal,static,grid,Environment,both,minimal,Grasp,no,yes,no,-7.4006724,-14.401835,Green
Warplanes: Battles over Pacific,https://youtu.be/dJtRLd9pyt8?t=451,2. Selecting from stationary menu on a board,2D,accuracy,10-19,20+,yes,small,Extrapersonal,static,grid,Environment,both,none,Point,no,yes,yes,7.29996,11.644599,Red
Kill it With Fire VR,https://youtu.be/zypjc9QnSFQ?t=106,"1. Grabbing closeby objects (drawer handles, checklist)",3D,accuracy,3-9,10-19,no,medium,Peripersonal,static,random,Environment,both,minimal,Grasp,no,yes,yes,-12.100276,-15.491721,Green
Kill it With Fire VR,https://youtu.be/zypjc9QnSFQ?t=68,2. Push a 3D button,3D,accuracy,1-2,1-2,yes,small,Peripersonal,static,grid,Environment,both,none,Press Virtual Button,no,yes,yes,4.7362547,-37.105804,LimeGreen
Kill it With Fire VR,https://youtu.be/zypjc9QnSFQ?t=224,3. Hitting a spider,3D,equal,1-2,1-2,no,small,Peripersonal,moving,random,Environment,both,minimal,Cross,no,yes,yes,-37.632088,-8.799078,Chocolate
Kill it With Fire VR,https://www.youtube.com/watch?v=zypjc9QnSFQ&t=566s,4. Pressing a flat UI button,2D,accuracy,1-2,1-2,yes,small,Peripersonal,static,random,Environment,both,none,Press Virtual Button,no,yes,yes,6.378706,-38.280346,LimeGreen
Walkabout Mini Golf,https://youtu.be/_BxgbBmC1Ww?t=94,1. Swinging golf stick to hit the golf ball,3D,accuracy,1-2,1-2,yes,small,Peripersonal,static,random,Environment,periphery,none,Cross,no,yes,no,-36.62948,-8.915871,Chocolate
Walkabout Mini Golf,https://youtu.be/_BxgbBmC1Ww?t=740,2. Selecting from menu,2D,accuracy,20+,20+,yes,small,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,8.8459635,11.583572,Red
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=93,1. Select UI menu elements,2D,accuracy,3-9,10-19,yes,small,Extrapersonal,static,list,Environment,center,none,Point,yes,yes,no,9.705533,14.260527,Red
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=122,2. Grabbing regular objects in environment,3D,accuracy,3-9,10-19,no,small,Peripersonal,static,random,Environment,both,minimal,Grasp,yes,yes,yes,-13.504699,-14.648655,Green
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=175,3. Grabbing door handles and valves,3D,accuracy,1-2,3-9,yes,small,Peripersonal,static,random,Environment,both,none,Grasp,yes,yes,yes,-20.664324,-19.048946,Green
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=934,4. Select text/icons in tablet/minimap UI,2D,accuracy,10-19,20+,yes,small,On-body,static,grid,Hand,center,none,Touch,no,yes,no,44.068123,-8.119564,Tomato
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=894,"5. Pressing virtual buttons in elevator, safe",3D,accuracy,3-9,10-19,yes,small,Peripersonal,static,grid,Environment,center,none,Press Virtual Button,no,yes,yes,3.929831,-37.696346,LimeGreen
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=609,6. Grabbing objects from the body,3D,accuracy,3-9,3-9,yes,small,On-body,static,random,Torso,periphery,minimal,Grasp,yes,yes,no,-31.840126,8.318801,Green
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=749,7. Touch UI menu element (in book),2D,accuracy,3-9,3-9,yes,small,Peripersonal,static,list,Environment,both,none,Touch,no,yes,yes,48.789608,-7.051283,Tomato
Propagation: Paradise Hotel,https://youtu.be/ltQTSGvrRxU?t=1738,8. Shoot enemies,3D,equal,1-2,3-9,no,large,Extrapersonal,moving,random,Environment,center,minimal,Shoot,yes,yes,yes,12.54352,-9.058693,Gold
The Climb 2,https://www.youtube.com/watch?v=sv25OnFJ2oQ,1. Direct Grab To Climb a desired surface or to hold to it to not fall,3D,accuracy,1-2,1-2,no,medium,Peripersonal,static,random,Environment,both,none,Grasp,no,yes,yes,-19.279333,-12.581183,Green
The Climb 2,https://youtu.be/n8Dr4HlQug8?t=6291,2. Select from a UI menu alike ,2D,accuracy,3-9,3-9,yes,medium,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,11.1588545,12.295962,Red
Drunkn Bar Fight,https://youtu.be/CXvCui4bvNk?t=20,"1. Grabbing closeby objects (bottles, guns, chairs)",3D,equal,1-2,3-9,yes,medium,Peripersonal,static,random,Environment,both,none,Grasp,yes,yes,yes,-19.37524,-17.352642,Green
Drunkn Bar Fight,https://youtu.be/CXvCui4bvNk?t=21,2. Hit an enemy with a long object,3D,equal,1-2,3-9,no,large,Peripersonal,moving,random,Environment,center,none,Cross,no,yes,yes,-38.72797,-9.565852,Chocolate
Drunkn Bar Fight,https://youtu.be/CXvCui4bvNk?t=17,3. Hit an enemy from close up,3D,equal,1-2,3-9,no,large,Peripersonal,moving,random,Environment,both,minimal,Cross,no,yes,yes,-38.305504,-10.550602,Chocolate
Drunkn Bar Fight,https://youtu.be/CXvCui4bvNk?t=299,4. Shooting at enemies,3D,equal,3-9,3-9,no,large,Extrapersonal,moving,random,Environment,center,minimal,Shoot,no,yes,yes,14.771462,-7.103577,Gold
Drunkn Bar Fight,https://youtu.be/CXvCui4bvNk?t=323,5. Hover with lighter to set enemies on fire,3D,accuracy,1-2,3-9,no,large,Peripersonal,moving,random,Environment,center,none,Hover,no,no,yes,-12.710146,0.72775817,DarkTurquoise
Drunkn Bar Fight,https://youtu.be/t8rZBhxiVy4?t=810,6. Throwing a brick at enemies,3D,accuracy,3-9,3-9,no,large,Extrapersonal,moving,random,Environment,center,minimal,Throw,no,no,yes,36.177734,16.693323,DeepSkyBlue
Drunkn Bar Fight,https://youtu.be/t8rZBhxiVy4?t=1114,7. Tapping UI buttons on a handheld smartphone,2D,accuracy,3-9,3-9,yes,medium,On-body,moving,grid,Hand,center,none,Touch,no,yes,no,44.23185,-8.272649,Tomato
Onward,https://youtu.be/V1x2hTqfF_w,1. Grabbing weapons and objects from the floor or the env,3D,equal,3-9,3-9,yes,medium,Peripersonal,static,random,Environment,center,minimal,Grasp,no,yes,yes,-8.022591,-16.775614,Green
Onward,https://youtu.be/V1x2hTqfF_w?t=22,2. Storing ammunition in a on-body slot,3D,equal,3-9,3-9,yes,small,On-body,static,grid,Torso,periphery,heavy,Release-to-select,no,yes,no,18.27107,-27.94409,Blue
Onward,https://youtu.be/V1x2hTqfF_w?t=80,3.Throwing objects such as a grenade,3D,accuracy,1-2,1-2,no,small,Extrapersonal,static,random,Environment,center,minimal,Throw,no,yes,yes,33.793053,14.174286,DeepSkyBlue
Onward,https://youtu.be/V1x2hTqfF_w?t=78,4. Grab items from the body/on body inventory,3D,equal,1-2,1-2,yes,medium,On-body,static,random,Torso,both,none,Grasp,no,yes,no,-30.682796,7.1807437,Green
Onward,https://youtu.be/ej5Qm_51ay4?t=192,5. Using UI to customize weapon,2D,accuracy,3-9,10-19,yes,medium,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,8.141733,14.294466,Red
Onward,https://youtu.be/V1x2hTqfF_w?t=52,6. Shooting at the targets,3D,equal,1-2,3-9,no,large,Extrapersonal,moving,random,Environment,center,minimal,Shoot,yes,yes,yes,12.557864,-9.060301,Gold
GORN,https://youtu.be/tVLHHibf5M0?t=17,1. Setting a state with levers and door handles,3D,accuracy,3-9,3-9,yes,medium,Peripersonal,static,random,Environment,center,none,Manipulate-to-select,no,yes,no,-12.637486,17.204653,MediumPurple
GORN,https://youtu.be/rE-MQPDoKw4?t=38,2. Punching enemies,3D,speed,1-2,1-2,yes,large,Peripersonal,moving,random,Environment,center,none,Push,no,yes,yes,7.7868705,-33.413376,Olive
GORN,https://youtu.be/X2bVwjmvPq8?t=454,3. Selecting weapons/items from the ground,3D,accuracy,1-2,1-2,no,medium,Peripersonal,static,random,Environment,center,minimal,Grasp,no,yes,yes,-19.401983,-12.502944,Green
GORN,https://youtu.be/rE-MQPDoKw4?t=441,4. Hitting enemies with long objects,3D,equal,1-2,3-9,no,large,Peripersonal,moving,random,Environment,center,none,Cross,no,yes,yes,-38.751823,-9.533273,Chocolate
GORN,https://youtu.be/rE-MQPDoKw4?t=1264,5. Shooting with a crossbow,3D,accuracy,3-9,3-9,no,large,Extrapersonal,moving,random,Environment,center,minimal,Shoot,no,yes,yes,14.79301,-7.112551,Gold
GOLF+,https://youtu.be/6cPTyuf1mT8?t=483,1. Select club from UI Menu in-Game,2D,accuracy,20+,20+,yes,small,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,yes,8.727489,12.435356,Red
GOLF+,https://youtu.be/6cPTyuf1mT8?t=506,2. Direct Push for golf ball with Golf bat/stick,3D,equal,1-2,1-2,yes,small,Peripersonal,static,random,Environment,both,none,Cross,yes,yes,yes,-36.597313,-9.248239,Chocolate
Green Hell VR,https://youtu.be/7CXx_dFs2MY?t=77,"1. Grabbing closeby objects (sticks, bananas)",3D,accuracy,3-9,10-19,no,medium,Peripersonal,static,random,Environment,both,minimal,Grasp,yes,yes,yes,-13.1670265,-15.048698,Green
Green Hell VR,https://youtu.be/7CXx_dFs2MY?t=18,2. Selecting tabs in inventory UI,2D,accuracy,3-9,3-9,yes,small,On-body,moving,grid,Hand,center,none,Touch,yes,yes,no,44.218807,-8.270612,Tomato
Green Hell VR,https://youtu.be/7CXx_dFs2MY?t=45,3. Selecting items from an inventory,2D,accuracy,3-9,3-9,yes,small,On-body,moving,grid,Hand,center,none,Grasp,yes,yes,no,-19.652233,-4.8494773,Green
Green Hell VR,https://youtu.be/HKV8DJ79FPc?t=440,4. Selecting entries in a hand-held book,2D,accuracy,10-19,10-19,yes,medium,On-body,moving,grid,Hand,center,none,Touch,yes,yes,no,44.027817,-7.8976216,Tomato
Green Hell VR,https://youtu.be/7CXx_dFs2MY?t=97,5. Select inventory cells on a 2D UI grid,2D,accuracy,20+,20+,no,small,On-body,moving,grid,Hand,center,none,Point,yes,yes,no,8.264605,35.350613,Red
Into the Radius,https://youtu.be/Ea8MLhFnDWw?t=109,1. Direct grab from backpack/inventory,3D,accuracy,10-19,10-19,yes,small,Peripersonal,static,grid,Environment,center,none,Grasp,yes,yes,yes,-16.751846,-11.8960905,Green
Into the Radius,https://youtu.be/Ea8MLhFnDWw?t=1188,2. Direct grab from body,3D,accuracy,3-9,10-19,no,medium,On-body,static,circular,Torso,both,minimal,Grasp,yes,yes,no,-32.41932,8.776029,Green
Into the Radius,https://youtu.be/Ea8MLhFnDWw?t=150,3. Grabbing objects from environment,3D,accuracy,3-9,10-19,no,small,Peripersonal,static,random,Environment,both,minimal,Grasp,yes,yes,yes,-11.649289,-15.324712,Green
Into the Radius,https://youtu.be/l1BoJyv9vvA?t=144,4. World-based flat UI,2D,accuracy,10-19,10-19,yes,small,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,yes,6.180077,14.435005,Red
Into the Radius,https://youtu.be/Ea8MLhFnDWw?t=240,5. Grasp ladder parts to climb,3D,accuracy,3-9,3-9,no,medium,Peripersonal,static,grid,Environment,center,none,Grasp,yes,yes,yes,-7.0484786,-14.644568,Green
Into the Radius,https://youtu.be/l1BoJyv9vvA?t=1040,6. Shooting weapons,3D,equal,1-2,3-9,no,large,Extrapersonal,moving,random,Environment,center,heavy,Shoot,no,no,yes,12.666521,-8.543589,Gold
Moss,https://youtu.be/GKA2YWnL1VM?t=346,1. Hovering on an object with orb hands,3D,accuracy,1-2,1-2,yes,small,Peripersonal,moving,random,Environment,center,minimal,Hover,yes,yes,no,-13.661614,0.48192558,DarkTurquoise
Moss,https://youtu.be/BLExKOhzpdk?t=208,2. Selecting a page in the book to flip,3D,accuracy,1-2,1-2,yes,medium,Peripersonal,static,random,Environment,center,none,Grasp,no,yes,yes,-19.190529,-10.730842,Green
Moss,https://youtu.be/GKA2YWnL1VM?t=186,3. Entering an object with hand orb and pulling it back,3D,accuracy,1-2,3-9,yes,medium,Peripersonal,static,random,Environment,center,none,Grasp,yes,yes,no,-21.529594,-19.146456,Green
