app,date,platform,link,scenario,ui,speed,num,max_num,unique,shape,size,distance,static,arrangement,rf,direction,occlusion,is_mechanic,selection_technique,hover,feedback,locomotion,X,Y,color
Among Us VR,November 2022,Oculus; Steam,https://youtu.be/m9Z6GjQatek?t=627,4. Select switches to turn either up or down,no,accuracy,3-9,10-19,no,light switches,small,peripersonal,static,grid,env,center,none,no,push,yes,yes,no,15.771405,-11.253028,green
Among Us VR,November 2022,Oculus; Steam,https://youtu.be/m9Z6GjQatek?t=835,5. Selecting from a game UI at a distance to either quit or play again,yes,accuracy,1-2,1-2,yes,"2D UI buttons, text, icons",medium,extrapersonal,static,list,env,center,none,no,point,yes,yes,yes,-14.086536,5.4180455,pink
Among Us VR,November 2022,Oculus; Steam,https://youtu.be/m9Z6GjQatek?t=1036,6. Selecting from a far UI to place a vote,yes,accuracy,10-19,10-19,yes,"2D UI buttons, icons, voting pannel",medium,extrapersonal,static,grid,env,center,none,no,point,yes,yes,no,16.938951,4.7365246,purple
BONELAB,September 2022,Oculus; Steam,https://youtu.be/A4eLTs4ZHYE?t=118,1. Select a target/enemy to target and shoot,no,equal,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,shoot,no,yes,yes,36.82781,10.974252,brown
BONELAB,September 2022,Oculus; Steam,https://youtu.be/A4eLTs4ZHYE?t=388,2. Select targets/enemies to destroy through crossing ,no,equal,1-2,3-9,no,avatar,large,extrapersonal,moving,random,env,both,minimal,yes,cross,no,yes,yes,-17.393044,-27.911123,orange
BONELAB,September 2022,Oculus; Steam,https://youtu.be/A4eLTs4ZHYE?t=835,3. Grasp objects directly from the VE,no,equal,1-2,3-9,yes,weapons,medium,peripersonal,static,random,env,both,minimal,yes,grasp,no,yes,yes,-11.875784,-28.175611,orange
BONELAB,September 2022,Oculus; Steam,https://youtu.be/A4eLTs4ZHYE?t=543,4. Select from a menu UI at a distance,yes,accuracy,3-9,10-19,yes,text; icons,small,extrapersonal,static,list,env,center,none,no,point,yes,yes,yes,25.308872,4.4902577,green
The Thrill of the Fight,July 2016,Oculus; Steam,https://youtu.be/iIrmhf9pRH0?t=130,1. Select an opponent by circling the hands around him,no,speed,1-2,1-2,yes,avatar,large,peripersonal,moving,random,env,center,none,yes,cross,no,yes,yes,-25.558245,-17.341566,grey
The Thrill of the Fight,July 2016,Oculus; Steam,https://youtu.be/iIrmhf9pRH0?t=357,2. Select from a menu UI (i.e. papers on wall),yes,accuracy,1-2,3-9,yes,text:/con,small,peripersonal,static,grid,env,center,none,no,push,no,yes,yes,7.325525,-1.0825332,purple
The Thrill of the Fight,July 2016,Oculus; Steam,https://youtu.be/iIrmhf9pRH0?t=67,3. Selecting a target or area to land a punch,no,equal,1-2,1-2,yes,avatar,large,peripersonal,moving,random,env,center,minimal,yes,push,no,yes,yes,-25.550077,14.44358,pink
TOTALLY BASEBALL,July 2021,Oculus; Steam,https://youtu.be/l8RvsdeGoms?t=72,1. Select from a UI at a distance ,yes,accuracy,10-19,10-19,yes,text; icons,small,peripersonal,static,list,env,center,none,no,point,yes,yes,yes,8.793158,-5.8297977,purple
TOTALLY BASEBALL,July 2021,Oculus; Steam,https://youtu.be/l8RvsdeGoms?t=289 ,2. Catching an object (i.e. a baseball thrown to the user),no,equal,1-2,1-2,yes,ball,small,peripersonal,moving,random,env,center,none,yes,catch,no,yes,no,-27.406233,-14.967615,grey
TOTALLY BASEBALL,July 2021,Oculus; Steam,https://youtu.be/l8RvsdeGoms?t=221,3. Aim and throw an object (i.e. a ball in a baseball game),no,accuracy,1-2,1-2,yes,avatar,small,extrapersonal,static,random,env,center,none,yes,throw,no,yes,no,-14.359649,35.718296,red
TOTALLY BASEBALL,July 2021,Oculus; Steam,https://youtu.be/l8RvsdeGoms?t=239,"4. Select a target or projectile to hit, for example, hitting a ball going towards the user with a bat",no,equal,1-2,1-2,yes,ball,small,peripersonal,moving,random,env,center,none,yes,cross,no,yes,no,-27.563017,-14.549547,grey
TOTALLY BASEBALL,July 2021,Oculus; Steam,https://youtu.be/l8RvsdeGoms?t=301,5. Select a target to aim at and shoot (i.e. baseball on a pitch),no,accuracy,1-2,1-2,yes,avatar,small,extrapersonal,static,random,env,center,none,yes,point,no,yes,no,-17.41163,7.5486436,pink
Pistol Whip,November 2019,Oculus; Steam; PSVR,https://youtu.be/F90LXZvxfwY?t=139,1. Select targets to aim at and shoot,no,equal,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,both,minimal,yes,shoot,no,yes,yes,37.39963,10.827931,brown
Vacation Simulator,April 2019,Oculus; Steam; PSVR,https://youtu.be/uhav22Tg0NQ?t=86,1. Manipualte a wheel through rotating it to choose the accessory color or change tv channels,no,accuracy,20+,20+,yes,wheels and selectables are on triangles,small,peripersonal,static,circular,env,center,none,no,grasp,yes,yes,no,6.845287,-24.77054,blue
Vacation Simulator,April 2019,Oculus; Steam; PSVR,https://youtu.be/uhav22Tg0NQ?t=101,2. Directly grasp objects in the VE (i.e. shampoo bottles),no,accuracy,3-9,3-9,yes,bathroom objects for example,small,peripersonal,static,random,env,center,none,yes,grasp,yes,yes,yes,14.787155,-30.298424,cyan
Vacation Simulator,April 2019,Oculus; Steam; PSVR,https://youtu.be/uhav22Tg0NQ?t=144,3. Manipulate a sliding bar to display/choose different items to customize a character,no,accuracy,10-19,10-19,yes,"slide bar, icons, 3D buttons",small,peripersonal,static,grid,env,center,none,no,grasp,yes,yes,no,-5.7924337,-13.10865,blue
Vacation Simulator,April 2019,Oculus; Steam; PSVR,https://youtu.be/uhav22Tg0NQ?t=147,4. Select buttons to press to make changes to the avatar through a UI,no,accuracy,10-19,10-19,yes,"3D buttons, icons",small,peripersonal,static,grid,env,center,none,no,push,yes,yes,yes,8.270586,-4.382837,purple
Vacation Simulator,April 2019,Oculus; Steam; PSVR,https://youtu.be/uhav22Tg0NQ?t=893,5. Pull the drawer to open it after it's already selected,no,accuracy,1-2,1-2,yes,"shelf handles, door handles and such",small,peripersonal,static,random,env,both,none,yes,manipulate,yes,yes,yes,-22.475367,-2.0394359,pink
Vacation Simulator,April 2019,Oculus; Steam; PSVR,https://youtu.be/uhav22Tg0NQ?t=925,6. Place a hat over the head to wear it,no,accuracy,1-2,1-2,yes,head,medium,on-body,static,random,head,center,none,yes,touch,yes,yes,no,-16.789343,44.819317,red
Vacation Simulator,April 2019,Oculus; Steam; PSVR,https://youtu.be/uhav22Tg0NQ?t=1698,7. Touch color with a brush to select it,no,accuracy,10-19,10-19,yes,brush and paint colors,small,peripersonal,static,grid,env,center,none,yes,touch,no,yes,no,-6.4452453,48.65094,yellow
Vacation Simulator,April 2019,Oculus; Steam; PSVR,https://youtu.be/uhav22Tg0NQ?t=1401,8. Select items from backpack inventory,no,accuracy,3-9,10-19,yes,camera,small,peripersonal,static,grid,env,both,none,no,grasp,yes,yes,no,5.412896,-25.348055,blue
Vacation Simulator,April 2019,Oculus; Steam; PSVR,https://youtu.be/uhav22Tg0NQ?t=1443,9. Throwing a snowball at sign,no,equal,10-19,10-19,yes,"snow balls, wood planks/pieces",small,peripersonal,static,random,env,both,none,yes,throw,yes,yes,no,-9.354152,40.80952,red
Shave & Stuff,April 2023,Oculus,https://youtu.be/lgKAJULuNig?t=33,1. Direct selection of barbershop tools,no,accuracy,3-9,10-19,no,tools,small,peripersonal,static,random,env,both,none,no,grasp,yes,yes,no,8.3742895,-33.668755,cyan
Shave & Stuff,April 2023,Oculus,https://youtu.be/lgKAJULuNig?t=149,2. Hovering with tool over avatar's head (similar to painting),no,accuracy,20+,20+,no,area,medium,peripersonal,static,grid,env,center,minimal,yes,touch,no,yes,yes,-1.3415239,47.230896,yellow
Warplanes: Battles over Pacific,August 2022,Oculus; Steam,https://youtu.be/dJtRLd9pyt8?t=157,"1. Direct Grabbing when inside the plane cockpit, and you are the pilot and the pannel is in front of you",no,accuracy,3-9,3-9,yes,lever,small,peripersonal,static,grid,env,both,minimal,yes,grasp,no,yes,no,8.670712,-23.871433,blue
Warplanes: Battles over Pacific,August 2022,Oculus; Steam,https://youtu.be/dJtRLd9pyt8?t=451,2. Selecting from stationary menu on a board,yes,accuracy,10-19,20+,yes,text; icons,small,extrapersonal,static,grid,env,both,none,no,point,no,yes,yes,15.249953,2.6037652,purple
Kill it With Fire VR,April 2023,Oculus; Steam,https://youtu.be/zypjc9QnSFQ?t=106,"1. Grabbing closeby objects (drawer handles, checklist)",no,accuracy,3-9,10-19,no,box,medium,peripersonal,static,random,env,both,minimal,no,grasp,no,yes,yes,9.156659,-35.458057,cyan
Kill it With Fire VR,April 2023,Oculus; Steam,https://youtu.be/zypjc9QnSFQ?t=68,2. Push a 3D button,no,accuracy,1-2,1-2,yes,button,small,peripersonal,static,grid,env,both,none,yes,push,no,yes,yes,6.3518934,-3.575458,pink
Kill it With Fire VR,April 2023,Oculus; Steam,https://youtu.be/zypjc9QnSFQ?t=224,3. Hitting a spider,no,equal,1-2,1-2,no,spider,small,peripersonal,moving,random,env,both,minimal,yes,cross,no,yes,yes,-28.714413,-17.181839,grey
Kill it With Fire VR,April 2023,Oculus; Steam,https://www.youtube.com/watch?v=zypjc9QnSFQ&t=566s,4. Pressing a flat UI button,yes,accuracy,1-2,1-2,yes,button,small,peripersonal,static,random,env,both,none,no,touch,no,yes,yes,-13.261276,41.76813,red
Walkabout Mini Golf,September 2020,Oculus; Steam; PSVR,https://youtu.be/_BxgbBmC1Ww?t=94,1. Swinging golf stick to hit the golf ball,no,accuracy,1-2,1-2,yes,golf ball,small,peripersonal,static,random,env,periphery,none,yes,cross,no,yes,no,-27.268272,-11.935097,grey
Walkabout Mini Golf,September 2020,Oculus; Steam; PSVR,https://youtu.be/_BxgbBmC1Ww?t=740,2. Selecting from menu,yes,accuracy,20+,20+,yes,"icons, numbers in circles and menu icons",small,extrapersonal,static,grid,env,center,none,no,point,yes,yes,no,19.223278,1.968213,purple
Propagation: Paradise Hotel,May 2023,Oculus; Steam,https://youtu.be/ltQTSGvrRxU?t=93,1. Select UI menu elements,yes,accuracy,3-9,10-19,yes,text; icons,small,extrapersonal,static,list,env,center,none,no,point,yes,yes,no,25.679955,4.99068,green
Propagation: Paradise Hotel,May 2023,Oculus; Steam,https://youtu.be/ltQTSGvrRxU?t=122,2. Grabbing regular objects in environment,no,accuracy,3-9,10-19,no,cans,small,peripersonal,static,random,env,both,minimal,no,point,yes,yes,yes,18.359777,-19.98251,green
Propagation: Paradise Hotel,May 2023,Oculus; Steam,https://youtu.be/ltQTSGvrRxU?t=175,3. Grabbing door handles and valves,no,accuracy,1-2,3-9,yes,handle,small,peripersonal,static,random,env,both,none,yes,grasp,yes,yes,yes,-8.740018,-26.008612,orange
Propagation: Paradise Hotel,May 2023,Oculus; Steam,https://youtu.be/ltQTSGvrRxU?t=934,4. Select text/icons in tablet/minimap UI,yes,accuracy,10-19,20+,yes,text; icons,small,on-body,static,grid,hand,center,none,no,touch,no,yes,no,-4.5749593,51.46809,yellow
Propagation: Paradise Hotel,May 2023,Oculus; Steam,https://youtu.be/ltQTSGvrRxU?t=894,"5. Pressing virtual buttons in elevator, safe",no,accuracy,3-9,10-19,yes,button,small,peripersonal,static,grid,env,center,none,yes,push,no,yes,yes,15.387825,-12.396904,green
Propagation: Paradise Hotel,May 2023,Oculus; Steam,https://youtu.be/ltQTSGvrRxU?t=609,6. Grabbing objects from the body,no,accuracy,3-9,3-9,yes,bottle,small,on-body,static,random,body,periphery,minimal,yes,grasp,yes,yes,no,18.90508,-32.47987,cyan
Propagation: Paradise Hotel,May 2023,Oculus; Steam,https://youtu.be/ltQTSGvrRxU?t=749,7. Touch UI menu element (in book),yes,accuracy,3-9,3-9,yes,text; icons,small,peripersonal,static,list,env,both,none,no,touch,no,yes,yes,2.1060815,48.08478,yellow
Propagation: Paradise Hotel,May 2023,Oculus; Steam,https://youtu.be/ltQTSGvrRxU?t=1738,8. Shoot enemies,no,equal,1-2,3-9,no,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,shoot,yes,yes,yes,3.30457,21.234612,brown
The Climb 2,March 2021,Oculus,https://www.youtube.com/watch?v=sv25OnFJ2oQ,1. Direct Grab To Climb a desired surface or to hold to it to not fall,no,accuracy,1-2,1-2,no,"plank, bricks, rocks, etc",medium,peripersonal,static,random,env,both,none,no,grasp,no,yes,yes,-21.569462,-12.950472,grey
The Climb 2,March 2021,Oculus,https://youtu.be/n8Dr4HlQug8?t=6291,2. Select from a UI menu alike ,yes,accuracy,3-9,3-9,yes,Icons with different shapes ,medium,peripersonal,static,grid,env,center,none,no,point,yes,yes,no,20.978428,-11.897481,green
Drunkn Bar Fight,November 2016,Oculus; Steam,https://youtu.be/CXvCui4bvNk?t=20,"1. Grabbing closeby objects (bottles, guns, chairs)",no,equal,1-2,3-9,yes,cane,medium,peripersonal,static,random,env,both,none,no,grasp,yes,yes,yes,-10.529844,-28.230186,orange
Drunkn Bar Fight,November 2016,Oculus; Steam,https://youtu.be/CXvCui4bvNk?t=21,2. Hit an enemy with a long object,no,equal,1-2,3-9,no,avatar,large,peripersonal,moving,random,env,center,none,yes,cross,no,yes,yes,-15.096561,-27.6767,orange
Drunkn Bar Fight,November 2016,Oculus; Steam,https://youtu.be/CXvCui4bvNk?t=17,3. Hit an enemy from close up,no,equal,1-2,3-9,no,avatar,large,peripersonal,moving,random,env,both,minimal,yes,push,no,yes,yes,1.0047197,13.941412,brown
Drunkn Bar Fight,November 2016,Oculus; Steam,https://youtu.be/CXvCui4bvNk?t=299,4. Shooting at enemies,no,equal,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,shoot,no,yes,yes,36.827885,10.974284,brown
Drunkn Bar Fight,November 2016,Oculus; Steam,https://youtu.be/CXvCui4bvNk?t=323,5. Hover with lighter to set enemies on fire,no,accuracy,1-2,3-9,no,avatar,large,peripersonal,moving,random,env,center,none,yes,hover,no,no,yes,-13.805142,-25.677885,orange
Drunkn Bar Fight,November 2016,Oculus; Steam,https://youtu.be/t8rZBhxiVy4?t=810,6. Throwing a brick at enemies,no,accuracy,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,throw,no,no,yes,36.143635,12.292316,brown
Drunkn Bar Fight,November 2016,Oculus; Steam,https://youtu.be/t8rZBhxiVy4?t=1114,7. Tapping UI buttons on a handheld smartphone,yes,accuracy,3-9,3-9,yes,button,medium,on-body,moving,grid,hand,center,none,no,touch,no,yes,no,-0.35800472,53.3197,yellow
Onward,August 2016,Oculus; Steam,https://youtu.be/V1x2hTqfF_w,1. Grabbing weapons and objects from the floor or the env,no,equal,3-9,3-9,yes,weapons/army materials,medium,peripersonal,static,random,env,center,minimal,yes,grasp,no,yes,yes,15.664869,-33.966587,cyan
Onward,August 2016,Oculus; Steam,https://youtu.be/V1x2hTqfF_w?t=22,2. Storing ammunition in a on-body slot,no,equal,3-9,3-9,yes,slot,small,on-body,static,grid,body,periphery,heavy,yes,touch,no,yes,no,4.2811513,50.01027,yellow
Onward,August 2016,Oculus; Steam,https://youtu.be/V1x2hTqfF_w?t=80,3.Throwing objects such as a grenade,no,accuracy,1-2,1-2,no,avatar,small,extrapersonal,static,random,env,center,minimal,yes,throw,no,yes,yes,-13.676865,34.33704,red
Onward,August 2016,Oculus; Steam,https://youtu.be/V1x2hTqfF_w?t=78,4. Grab items from the body/on body inventory,no,equal,1-2,1-2,yes,weapons,medium,on-body,static,random,body,both,none,no,grasp,no,yes,no,-29.476109,-11.833412,grey
Onward,August 2016,Oculus; Steam,https://youtu.be/ej5Qm_51ay4?t=192,5. Using UI to customize weapon,yes,accuracy,3-9,10-19,yes,Icon/text/i,medium,extrapersonal,static,grid,env,center,none,no,point,yes,yes,no,23.475231,5.7948437,green
Onward,August 2016,Oculus; Steam,https://youtu.be/V1x2hTqfF_w?t=52,6. Shooting at the targets,no,equal,1-2,3-9,no,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,shoot,yes,yes,yes,3.3052335,21.23201,brown
GORN,July 2019,Oculus; Steam,https://youtu.be/tVLHHibf5M0?t=17,1. Setting a state with levers and door handles,no,accuracy,3-9,3-9,yes,lever,medium,peripersonal,static,random,env,center,none,no,manipulate,no,yes,no,22.449854,-19.129185,green
GORN,July 2019,Oculus; Steam,https://youtu.be/rE-MQPDoKw4?t=38,2. Punching enemies,no,speed,1-2,1-2,yes,avatar,large,peripersonal,moving,random,env,center,none,yes,push,no,yes,yes,-25.910633,14.79811,pink
GORN,July 2019,Oculus; Steam,https://youtu.be/X2bVwjmvPq8?t=454,3. Selecting weapons/items from the ground,no,accuracy,1-2,1-2,no,weapons,medium,peripersonal,static,random,env,center,minimal,no,grasp,no,yes,yes,-22.690903,-12.753394,grey
GORN,July 2019,Oculus; Steam,https://youtu.be/rE-MQPDoKw4?t=441,4. Hitting enemies with long objects,no,equal,1-2,3-9,no,avatar,large,peripersonal,moving,random,env,center,none,yes,cross,no,yes,yes,-15.096641,-27.676517,orange
GORN,July 2019,Oculus; Steam,https://youtu.be/rE-MQPDoKw4?t=1264,5. Shooting with a crossbow,no,accuracy,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,shoot,no,yes,yes,36.20031,11.402737,brown
GOLF+,May 2020,Oculus; PSVR,https://youtu.be/6cPTyuf1mT8?t=483,1. Select club from UI Menu in-Game,yes,accuracy,20+,20+,yes,"icons, tips of gold bats, settings",small,extrapersonal,static,grid,env,center,none,no,point,yes,yes,yes,20.496899,1.625934,purple
